Number,Party,Total_Contestants,Won,Second,Third,Party_Votes,Valid_Votes_Percent,Valid_Votes_Contested,AC_Leads,AC_Second,AC_Third
647,Aadarsh Sangram Party,1,0,0,0,865,0%,0.10%,0,0,0
648,Uttar Pradesh Republican Party,1,0,0,0,854,0%,0.10%,0,0,0
649,Digvijaya Bharatha Party,1,0,0,0,850,0%,0.10%,0,0,0
650,Republican Party Of India Bharatha,1,0,0,0,848,0%,0.10%,0,0,0
651,Jan Shakti Ekta Party,1,0,0,0,847,0%,0.10%,0,0,0
652,Indian National Yuva Jana Party,2,0,0,0,847,0%,0%,0,0,0
653,Satya Bahumat Party,1,0,0,0,842,0%,0.10%,0,0,0
654,Bhartiya Sabka Dal,1,0,0,0,841,0%,0.10%,0,0,0
655,Akhil Bharatiya Muslim League (Secular),1,0,0,0,821,0%,0.10%,0,0,0
656,New Labour Party,1,0,0,0,819,0%,0.10%,0,0,0
657,Akhil Bhartiya Aamjan Party,1,0,0,0,818,0%,0.10%,0,0,0
658,Kunbi Bahujan Sawrajya Party,1,0,0,0,817,0%,0.10%,0,0,0
659,Pachchasi Parivartan Samaj Party,1,0,0,0,802,0%,0.10%,0,0,0
660,Jana Shankhaaraavam Party,1,0,0,0,797,0%,0.10%,0,0,0
661,Rashtriy Bahujan Party,1,0,0,0,795,0%,0.10%,0,0,0
662,Rashtriya Mazdoor Ekta Party,1,0,0,0,791,0%,0.10%,0,0,0
663,Chhatrapati Shivaji Bhartiya Garib Party,1,0,0,0,790,0%,0.10%,0,0,0
664,Telugu Congress Party,1,0,0,0,790,0%,0.10%,0,0,0
665,Nam India Naam Indiyar Katchi,1,0,0,0,790,0%,0.10%,0,0,0
666,Lokpriya Rashtrawadi Party,1,0,0,0,782,0%,0.10%,0,0,0
667,Anjaan Aadmi Party,1,0,0,0,781,0%,0.10%,0,0,0
668,Akhand Bharat Swatantra Party,1,0,0,0,780,0%,0.10%,0,0,0
669,Mission Naya Digant Party,1,0,0,0,772,0%,0.10%,0,0,0
670,Rani Chennamma Party,2,0,0,0,771,0%,0%,0,0,0
671,Bhrashtachar Mukti Morcha,1,0,0,0,766,0%,0%,0,0,0
672,Rashtriya Jan Karmath Party,1,0,0,0,764,0%,0.10%,0,0,0
673,Tamilaga Makkal Nala Katchi,1,0,0,0,761,0%,0.10%,0,0,0
674,Bhartiya Mahasangh Party,1,0,0,0,758,0%,0.10%,0,0,0
675,Aadi Bharat Party,1,0,0,0,742,0%,0.10%,0,0,0
676,Jamat-E-Seratul Mustakim,1,0,0,0,741,0%,0.10%,0,0,0
677,Makkal Nala Kazhagam,1,0,0,0,736,0%,0.10%,0,0,0
678,Bharatiya Lokvikas Party,1,0,0,0,723,0%,0.10%,0,0,0
679,Jai Hindustan Party,1,0,0,0,711,0%,0.10%,0,0,0
680,All India People Development Party,1,0,0,0,711,0%,0.10%,0,0,0
681,Bhartiyabahujankranti Dal,1,0,0,0,709,0%,0.10%,0,0,0
682,Aam Lok Party United,1,0,0,0,695,0%,0.10%,0,0,0
683,Ambedkar National Congress,1,0,0,0,688,0%,0.10%,0,0,0
684,Rashtriya Congress(J) Party,1,0,0,0,685,0%,0.10%,0,0,0
685,Bharat Peoples Sena,1,0,0,0,683,0%,0.10%,0,0,0
686,Satyawadi Rakshak Party,1,0,0,0,657,0%,0.10%,0,0,0
687,National Republic Party Of India,1,0,0,0,657,0%,0.10%,0,0,0
688,Sacho Sach Party,1,0,0,0,652,0%,0.10%,0,0,0
689,Youth India Peace Party,1,0,0,0,649,0%,0.10%,0,0,0
690,Adarsh Samaj Party,1,0,0,0,643,0%,0.10%,0,0,0
691,Rashtravadi Loktantrik Party (India),1,0,0,0,641,0%,0.10%,0,0,0
692,Praja Prasthanam Party,1,0,0,0,633,0%,0%,0,0,0
693,All India Jananayaka Makkal Kazhagam,1,0,0,0,633,0%,0.10%,0,0,0
694,Manav Samadhan Party,1,0,0,0,622,0%,0%,0,0,0
695,Rashtriya Rashtrawadi Party,1,0,0,0,614,0%,0%,0,0,0
696,Bharatiya Inqalab Party,1,0,0,0,610,0%,0.10%,0,0,0
697,Mera Bharat Mahan Party,1,0,0,0,604,0%,0%,0,0,0
698,Kisan Vishwa Party,1,0,0,0,603,0%,0.10%,0,0,0
699,Voters Independent Party,1,0,0,0,601,0%,0%,0,0,0
700,Aawami Pichhada Party,1,0,0,0,594,0%,0.10%,0,0,0
701,Bahujan National Party (Ambedkar),1,0,0,0,586,0%,0%,0,0,0
702,Guruchand Sena Dal,1,0,0,0,583,0%,0%,0,0,0
703,All India Kisan Janatha Party,1,0,0,0,578,0%,0%,0,0,0
704,Kranti Janshakti Party,1,0,0,0,575,0%,0%,0,0,0
705,Rashtriya Suraksha Party,1,0,0,0,574,0%,0%,0,0,0
706,Dalit Kranti Dal,1,0,0,0,547,0%,0%,0,0,0
707,Navsarjan Bharat Party,1,0,0,0,545,0%,0.60%,0,0,0
708,Akhil Bhartiya Aarakshit Samaj Party,1,0,0,0,544,0%,0%,0,0,0
709,Aap Sabki Apni Party,1,0,0,0,528,0%,0%,0,0,0
710,Raita Bharat Party,1,0,0,0,518,0%,0%,0,0,0
711,All India Mahila Empowerment Party,1,0,0,0,515,0%,0%,0,0,0
712,Corruption Abolition Party,1,0,0,0,501,0%,0.10%,0,0,0
713,Bhartiya Panchyat Party,1,0,0,0,494,0%,0%,0,0,0
714,Secular Democratic Congress,1,0,0,0,490,0%,0%,0,0,0
715,Kannada Paksha,1,0,0,0,477,0%,0%,0,0,0
716,Hamara Sahi Vikalp Party,1,0,0,0,476,0%,0%,0,0,0
717,Bhartiya Veer Dal,1,0,0,0,470,0%,0%,0,0,0
718,Bengaluru Nava Nirmana Party,1,0,0,0,461,0%,0%,0,0,0
719,Radical Party Of India (Ambedkarist),1,0,0,0,454,0%,0%,0,0,0
720,Desh Prem Party,1,0,0,0,454,0%,0%,0,0,0
721,Sarvlokhit Samaj Party,1,0,0,0,446,0%,0%,0,0,0
722,Dhoom Sena,1,0,0,0,434,0%,0%,0,0,0
723,Neethi Nijayithi Party,1,0,0,0,430,0%,0%,0,0,0
724,Maa Telangana Party,1,0,0,0,423,0%,0%,0,0,0
725,Samajik Sangharsh Party,1,0,0,0,419,0%,0%,0,0,0
726,Navodayam Party,1,0,0,0,414,0%,0%,0,0,0
727,All India National Raksha Sena,1,0,0,0,396,0%,0%,0,0,0
728,Bharatiya Mulnivasi Aazad Party,1,0,0,0,396,0%,0%,0,0,0
729,Bhartiya Jan Vikas Aaghadi,1,0,0,0,391,0%,0%,0,0,0
730,Bahujan Shoshit Samaj Sangharsh Samta Party,1,0,0,0,373,0%,0%,0,0,0
731,Andhra Pradesh Rashtra Samithi,1,0,0,0,358,0%,0%,0,0,0
732,Akhil Bhartiya Sudhar Party,1,0,0,0,321,0%,0%,0,0,0
733,Loktantrik Janta Dal,1,0,0,0,316,0%,0%,0,0,0
734,Karnataka Karmikara Paksha,1,0,0,0,314,0%,0%,0,0,0
735,Tamilnadu Makkal Nalvazhvu Periyakkam,1,0,0,0,314,0%,0%,0,0,0
736,Bharatrashtra Democratic Party,1,0,0,0,310,0%,0%,0,0,0
737,All India Jaihind Party,1,0,0,0,269,0%,0%,0,0,0
738,Bharat Lok Sewak Party,1,0,0,0,262,0%,0%,0,0,0
739,Republican Party Of India (SIVARAJ),1,0,0,0,259,0%,0%,0,0,0
740,Rashtriya Mangalam Party,1,0,0,0,257,0%,0%,0,0,0
741,Rashtriya Jatigat Aarakshan Virodhi Party,1,0,0,0,215,0%,0%,0,0,0
742,All India Backward People Sunami Party,1,0,0,0,210,0%,0%,0,0,0
743,Indian Praja Congress,1,0,0,0,141,0%,0%,0,0,0
744,Telangana Prajaa Jeevana Rythu Party,1,0,0,0,141,0%,0%,0,0,0
